Experiment,Year,Field#,PlotID,Rotation,Rep,N-Old,Nitro,Pedigree,HYB,Source,Plot#,Range,Row,Root#,PlotiD
2023_Rotational Plots,2023,116,11601,3Year,1,N1,N1,BR64K93,CHECK4,Blue River Hybrid,3001,1,3,1,11601
2023_Rotational Plots,2023,116,11602,3Year,1,N1,N1,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3002,1,7,1,11602
2023_Rotational Plots,2023,116,11603,3Year,1,N1,N1,Z031E0047xPH207,NREC12,2021MOB:1636-41,3003,1,11,1,11603
2023_Rotational Plots,2023,116,11604,3Year,1,N1,N1,PH5141,CHECK7,Prairie Hyb,3004,1,15,1,11604
2023_Rotational Plots,2023,116,11605,3Year,1,N1,N1,Z031E0047xMo17,NREC09,2021MOB:1612-17,3005,1,19,1,11605
2023_Rotational Plots,2023,116,11606,3Year,1,N1,N1,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3010,2,3,1,11606
2023_Rotational Plots,2023,116,11607,3Year,1,N1,N1,B73xPH207,NREC04,2021MOB:1572-77,3009,2,7,1,11607
2023_Rotational Plots,2023,116,11608,3Year,1,N1,N1,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3008,2,11,1,11608
2023_Rotational Plots,2023,116,11609,3Year,1,N1,N1,Z031E0021xPHZ51,NREC07,2021MOB:1596,3007,2,15,1,11609
2023_Rotational Plots,2023,116,11610,3Year,1,N1,N1,Z031E0021xMo17,NREC05,2021MOB:1580-85,3006,2,19,1,11610
2023_Rotational Plots,2023,116,11611,3Year,1,N1,N1,B73xPHZ51,NREC03,2021MOB:1564-69,3011,3,3,1,11611
2023_Rotational Plots,2023,116,11612,3Year,1,N1,N1,Z031E0021xPH207,NREC08,2021MOB:1604-09,3012,3,7,1,11612
2023_Rotational Plots,2023,116,11613,3Year,1,N1,N1,B73XMo17,NREC01,2021MOB:1548-53,3013,3,11,1,11613
2023_Rotational Plots,2023,116,11614,3Year,1,N1,N1,B73xPHG47,NREC02,2021MOB:1556-61,3014,3,15,1,11614
