"","BarCode","FDT","FDS","LA","RA","SD","LDA","Mass","RTW"
"1",107012,1.505534873,1.44496752225,50.5646131525,55.223620945,77,-0.69094915125,26.5,106
"2",107013,1.519033827,1.4439620615,47.94683272,54.9831065275,82.5,-0.82232388975,32.5,130
"3",107021,1.508158563,1.43867955625,51.5697747075,53.6893402975,92.25,-0.46085703325,62.25,249
"4",107022,1.552435656,1.4658833835,50.3083866875,54.7494114175,110,-0.348228068,42,168
"5",107023,1.471006177,1.48844563375,34.6747933475,53.06844144,103.75,-1.6725792755,52.5,210
"6",107031,1.459585649,1.433356572,57.606533865,60.257499755,86,-0.80708665275,29,116
"7",107032,1.480806154,1.4223722095,59.184032785,54.9421326725,161.5,-0.697070584,45.25,181
"8",107033,1.502276098,1.41768060575,59.365947725,65.2518803425,93.75,-0.297456689,67.25,269
"9",107041,1.504924691,1.4833934765,51.964341915,58.1416160875,89.75,-0.82934500425,38,152
"10",107042,1.52472525,1.477214779,53.6966248025,49.0649527975,103.75,-0.22629609175,53.75,215
"11",107043,1.468317464,1.41436006275,48.74346827,50.819416085,98.5,-1.2501689615,53.25,213
"12",107051,1.471523526,1.44251865525,47.420639675,48.196960405,87,-0.1330543085,40,160
"13",107052,1.488094873,1.44254930725,53.60507706,54.5560299075,96.75,-0.730892821,46.5,186
"14",107053,1.452494566,1.42230299125,54.262987545,57.214624925,83.5,-0.68501126225,28.75,115
"15",107061,1.462579007,1.36149352325,58.338796805,61.7740186925,76,-0.1723277715,25.75,103
"16",107062,1.49393815,1.4107665535,64.285955135,64.4543034775,76.5,-0.540229308,25,100
"17",107063,1.475577686,1.450789677,58.0985032475,57.6189267075,97.5,-0.0869856835,42.5,170
"18",107071,1.472431355,1.44678419,53.828827545,50.908023575,93.25,-0.421925425,36.25,145
"19",107072,1.485284843,1.450984552,47.104290855,45.6999090725,114.25,0.0446185845,55.25,221
"20",107073,1.450118277,1.3875930165,62.884923925,63.40583348,88.25,-0.36779363825,42,168
"21",107081,1.456777958,1.5000172215,42.4145712,44.0055473075,107.75,-0.85833886825,57.5,230
"22",107082,1.567486709,1.495152136,45.0668427375,41.0174253525,108.75,0.20168177025,33.75,135
"23",107083,1.523614296,1.4766262965,40.4629116875,38.40056868,114,-1.45292390625,52.25,209
"24",107091,1.453192907,1.42259742325,52.3780701025,53.9368749725,105.75,-0.32541034775,87,348
"25",107092,1.45289984,1.4311970985,40.6334991625,38.36357003,166.75,-2.23573412875,85,340
"26",107093,1.478162626,1.4687145905,49.289278035,44.9881605825,107.25,0.28083080725,63.75,255
"27",107101,1.538635806,1.47720757375,54.2035232375,55.895089755,95.25,-0.214586136,67.75,271
"28",107102,1.446260913,1.4383562115,40.7730166225,46.0779513375,93.5,0.2627530225,50.25,201
"29",107103,1.460774368,1.451293228,49.672260905,54.5000516925,88,-0.623101975,32.75,131
"30",107111,1.507179266,1.42786091575,66.5406347225,61.7065717175,122.5,-0.610680057,33,132
"31",107112,1.498852471,1.453458837,55.6083549625,59.731185045,96.75,-0.65853089375,25,100
"32",107113,1.534421822,1.4686272495,50.4421139975,55.4153496875,112.75,-0.543268055,31.75,127
"33",107121,1.464867309,1.43114241625,53.129111805,56.3383090575,83,-0.0103562144999999,25.75,103
"34",107122,1.487483112,1.4699822705,44.6503901075,47.85769354,87.75,-0.398020091,27.75,111
"35",107123,1.4905783,1.42394178675,55.7720970375,61.032221175,108.5,-0.899191598,76.5,306
"36",107131,1.515245009,1.4701422535,51.6983370325,52.031703865,98.25,-0.4932537565,42.25,169
"37",107132,1.502660209,1.432666555,60.7192140075,55.12899785,107.75,-0.62473876425,42.75,171
"38",107133,1.501870616,1.4753632455,48.23137874,52.2208673275,138,-0.59223804425,49,196
"39",107141,1.427565949,1.45377212175,56.0978135975,53.1372934975,111.75,-0.61894880475,64.75,259
"40",107142,1.48925962,1.4347334255,50.6174991375,53.0372287125,98.75,-0.65643397975,41.75,167
"41",107143,1.455025562,1.42291178575,51.4484259625,52.9821745775,93.75,-0.0789574072499999,43,172
"42",107151,1.489174475,1.41844283075,56.40708445,56.98937004,159.25,-0.28595586775,46.5,186
"43",107152,1.429304146,1.41845139075,52.7528001025,55.1079421175,96,-0.3575721455,33.25,133
"44",107153,1.497291388,1.46750159625,46.1268629525,49.8210603225,136,-0.027885197,45.75,183
"45",108011,1.516972751,1.4643352845,55.108679945,53.9089613525,88,-0.576989623,23.5,94
"46",108012,1.489007677,1.4616926525,64.256427985,70.2872199925,89.75,-0.584704736,19,76
"47",108013,1.483041741,1.42782362225,63.7747971775,62.1689566,75.75,-0.325693372,21.25,85
"48",108021,1.540188835,1.4858385585,67.505729925,72.8410780825,84,-0.70303608375,26.25,105
"49",108022,1.452993585,1.46181718975,64.07904424,63.958669675,82.5,-0.882231498,15.25,61
"50",108023,1.506923197,1.4763704695,71.44004684,70.9474584325,75.25,-0.5284827305,18.5,74
"51",108031,1.580657504,1.5149013105,43.7242881725,42.9624555025,119,-0.4506556415,44.5,178
