BarCode,View,FDT,FDS,LA,RTA,SD,LDA,RTW
107012,0,1.505534873,1.43191427,50.01738573,53.9133493,76,4.345730802,106
107012,90,1.505534873,1.437578236,50.92340148,48.3784774,79,1.73880216,106
107012,180,1.505534873,1.448688143,52.73560545,52.45429881,76,-6.886911899,106
107012,270,1.505534873,1.46168944,48.58205995,66.14835827,77,-1.961417668,106
107013,0,1.519033827,1.441444242,52.90954655,56.56217641,88,-0.656029874,130
107013,90,1.519033827,1.4437266,43.29382171,49.82918914,77,2.368025101,130
107013,180,1.519033827,1.448181769,54.18391925,55.36516686,88,-2.294777918,130
107013,270,1.519033827,1.442495635,41.40004337,58.1758937,77,-2.706512868,130
107021,0,1.508158563,1.431289975,45.1465362,64.66787288,94,-3.936900905,249
107021,90,1.508158563,1.448599916,49.48976338,52.2881539,90,-1.554456476,249
107021,180,1.508158563,1.452280537,54.94221979,52.20915106,94,0.231341056,249
107021,270,1.508158563,1.422547797,56.70057946,45.59218335,91,3.416588192,249
107022,0,1.552435656,1.490912771,38.93821121,48.66193558,103,0.262822833,168
107022,90,1.552435656,1.404788,62.53035379,68.21823254,117,2.11457588,168
107022,180,1.552435656,1.479384191,43.66778015,38.05977304,102,-1.748946045,168
107022,270,1.552435656,1.488448572,56.0972016,64.05770451,118,-2.02136494,168
107023,0,1.471006177,1.503842603,34.91580371,33.69006753,99,-3.455938643,210
107023,90,1.471006177,1.482207778,47.07803537,74.34551696,110,-4.995674242,210
107023,180,1.471006177,1.496498945,30.83294448,45.4939169,97,4.163234168,210
107023,270,1.471006177,1.471233209,25.87238983,58.74426437,109,-2.401938385,210
107031,0,1.459585649,1.426295027,55.49803184,60.30470396,84,-2.521487822,116
107031,90,1.459585649,1.423996985,62.10272897,59.84845202,88,-0.300499585,116
107031,180,1.459585649,1.43828106,55.76253722,55.94756063,84,-0.986060632,116
107031,270,1.459585649,1.444853216,57.06283743,64.92928241,88,0.579701428,116
107032,0,1.480806154,1.424014336,56.10854216,49.82076608,179,1.117824582,181
107032,90,1.480806154,1.452292737,53.52313126,59.0136594,151,-3.842453128,181
107032,180,1.480806154,1.407804028,70.38212059,54.47535286,167,4.513988458,181
107032,270,1.480806154,1.405377737,56.72233713,56.45875235,149,-4.577642248,181
107033,0,1.502276098,1.435610049,60.63392825,66.148715,87,-2.108095312,269
107033,90,1.502276098,1.406053394,68.5747062,69.9342951,100,-0.7064473,269
107033,180,1.502276098,1.434794145,45.2397299,54.4053115,88,-0.626538835,269
107033,270,1.502276098,1.394264835,63.01542655,70.51919977,100,2.251254691,269
107041,0,1.504924691,1.488999505,47.74430873,50.19442891,93,-1.613538933,152
107041,90,1.504924691,1.466267682,56.73173427,56.60856749,87,-1.69253987,152
107041,180,1.504924691,1.522416896,47.67997394,53.80909697,92,-2.004969539,152
107041,270,1.504924691,1.455889823,55.70135072,71.95437098,87,1.993668325,152
107042,0,1.52472525,1.496870808,50.82981724,36.26921503,98,0.372650222,215
107042,90,1.52472525,1.460777135,64.72496103,53.55887474,109,-0.447614171,215
107042,180,1.52472525,1.479782501,47.53935058,59.15763265,99,-0.453279938,215
107042,270,1.52472525,1.471428672,51.69237036,47.27408877,109,-0.37694048,215
107043,0,1.468317464,1.413751478,56.633634,55.10238873,94,-3.60373027,213
107043,90,1.468317464,1.41832595,39.32358269,65.47869983,104,-4.028263666,213
107043,180,1.468317464,1.421868013,49.81898803,49.80487156,93,1.029715225,213
107043,270,1.468317464,1.40349481,49.19766836,32.89170422,103,1.601602865,213
107051,0,1.471523526,1.424197658,53.01981225,32.7820595,88,-0.863690045,160
107051,90,1.471523526,1.437302732,43.77309509,59.41414014,86,-4.533385277,160
107051,180,1.471523526,1.458446719,41.66152946,45.34206029,88,1.690204674,160
107051,270,1.471523526,1.450127512,51.2281219,55.24958169,86,3.174653414,160
107052,0,1.488094873,1.475697327,38.69590008,56.04094018,100,-1.909152433,186
107052,90,1.488094873,1.421161107,62.03071923,58.22834573,94,1.819677458,186
107052,180,1.488094873,1.424311566,53.72413813,45.93919095,99,-2.262789807,186
107052,270,1.488094873,1.449027229,59.9695508,58.01564277,94,-0.571306502,186
107053,0,1.452494566,1.411541974,55.75873407,50.63377448,80,-3.893143104,115
107053,90,1.452494566,1.437337802,57.55582765,62.74467163,88,-4.610649319,115
107053,180,1.452494566,1.425960868,51.49679833,53.91059304,78,5.148789456,115
107053,270,1.452494566,1.414371321,52.24059013,61.56946055,88,0.614957918,115
107061,0,1.462579007,1.386959003,48.79829522,59.94143392,70,0.406346233,103
107061,90,1.462579007,1.37314446,61.20315815,64.83897604,82,-2.770215797,103
107061,180,1.462579007,1.356212968,56.21946553,62.09070972,71,0.248750012,103
107061,270,1.462579007,1.329657662,67.13426832,60.22495509,81,1.425808466,103
107062,0,1.49393815,1.416987375,59.35786836,69.74248277,81,-0.464299233,100
107062,90,1.49393815,1.381666002,66.8491162,68.08673945,72,-2.56924102,100
107062,180,1.49393815,1.42668784,67.9816253,54.42278061,82,-0.928537495,100
107062,270,1.49393815,1.417724997,62.95521068,65.56521108,71,1.801160516,100
107063,0,1.475577686,1.464664293,65.95980871,57.98339772,101,0.167286472,170
107063,90,1.475577686,1.457355561,46.57825265,62.41108775,95,0.924045353,170
107063,180,1.475577686,1.419580199,64.11297373,67.0861909,100,-0.932245498,170
107063,270,1.475577686,1.461558655,55.7429779,42.99503046,94,-0.507029061,170
107071,0,1.472431355,1.449534912,61.48445319,47.71114536,98,-2.355776451,145
107071,90,1.472431355,1.442761595,60.67477008,40.65353605,87,7.39607656,145
107071,180,1.472431355,1.443362858,57.89103912,64.39781245,101,0.740453503,145
107071,270,1.472431355,1.451477395,35.26504779,50.86960044,87,-7.468455312,145
107072,0,1.485284843,1.468727279,42.70173726,48.26809891,112,-0.754841431,221
107072,90,1.485284843,1.468296713,61.38060044,33.81346097,119,1.46504583,221
107072,180,1.485284843,1.435566997,45.30639162,43.46646354,108,-1.053942757,221
107072,270,1.485284843,1.431347219,39.0284341,57.25161287,118,0.522212696,221
107073,0,1.450118277,1.400642647,66.19731433,55.73579774,83,4.675494407,168
107073,90,1.450118277,1.363564028,60.62013521,70.80621105,93,-0.972289341,168
107073,180,1.450118277,1.404846405,55.58606549,65.15381207,82,-4.676786104,168
107073,270,1.450118277,1.381318986,69.13618067,61.92751306,95,-0.497593515,168
107081,0,1.456777958,1.484451585,40.45466469,47.08479304,100,-9.006276284,230
107081,90,1.456777958,1.508397722,29.81850256,58.24449686,114,-3.243000744,230
